ticket_id,report_time,address,district,subdistrict,status,description,resolution,reporting_agency,tags,upvotes,image_url,latitude,longitude,source,received_time
2025-GWE8DA,6 พ.ค. 68 21:02 น.,72 ถ. สามเสน แขวงบางขุนพรหม เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,เขตพระนคร,แขวงบางขุนพรหม,รอรับเรื่อง 7 นาทีที่แล้ว,แยกไฟแดง เทเวศร์ รถยนต์และจักรยานยนต์จอดรถริมถนนตรงแยกไฟแดงทุกวัน บางครั้งจอดทับทางเท้าด้วย ทำให้ใช้...เพิ่มเติม,ดำเนินการ: -,,"ผิดกฎจราจร, ถนน",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/32b99402a5e10bb5e8cb9b23f19ad691.jpg,13.76601693277135,100.50360058964046,kafka,2025-05-06T15:44:37.576860
2025-LRJPWF,6 พ.ค. 68 21:01 น.,"92/7, 92/7 ซอย ทวีสุข แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย",เขตวัฒนา,แขวงคลองตันเหนือ,รอรับเรื่อง 8 นาทีที่แล้ว,ไฟฟ้าถนนในซอยดับทั้งหมดเริ่มจากในซอยสุขุมวิท31ทั้งซอยแยก และซอยทวีสุข ไฟถนนดับทั้งหมด,ดำเนินการ: -,,"ไฟฟ้า, อุปกรณ์ชำรุด",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/74999c030650c88d9bedc4cabe669372.jpg,13.74411583650065,100.57113888193288,kafka,2025-05-06T15:44:37.579860
2025-4CCXCZ,6 พ.ค. 68 21:01 น.,481 ถ. พหลโยธิน แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400 ประเทศไทย,เขตพญาไท,แขวงพญาไท,รอรับเรื่อง 8 นาทีที่แล้ว,ไฟถนนไม่ติด,ดำเนินการ: -,,"ไฟฟ้า, อุปกรณ์ชำรุด",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/6f780ac4ba0eb8dea97f3e05062c45f7.jpg,13.7829179264679,100.539741764299,kafka,2025-05-06T15:44:37.581862
2025-4RRLV3,6 พ.ค. 68 21:01 น.,72 ถ. สามเสน แขวงบางขุนพรหม เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,เขตพระนคร,แขวงบางขุนพรหม,รอรับเรื่อง 9 นาทีที่แล้ว,แยกไฟแดง เทเวศร์ รถยนต์และจักรยานยนต์จอดรถริมถนนตรงแยกไฟแดงทุกวัน บางครั้งจอดทับทางเท้าด้วย ทำให้ใช้...เพิ่มเติม,ดำเนินการ: -,,ผิดกฎจราจร,0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/0935cd60e0f53ff8cfcdf55e20a5b590.jpg,13.76601693277135,100.50360058964046,kafka,2025-05-06T15:44:37.582860
2025-YE3YMJ,6 พ.ค. 68 21:01 น.,15/158 ซอย รัชดาภิเษก 36 ซอย เสือใหญ่อุทิศ แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,เขตจตุจักร,แขวงจันทรเกษม,รอรับเรื่อง 9 นาทีที่แล้ว,โค้งซอยรัชดาภิเษก 36 แยก 5 มีน้ำขังบริเวณท่อระบายน้ำ,ดำเนินการ: -,,"น้ำท่วม, ถนน, อุปกรณ์ชำรุด",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/a92c28e4aac4a885135b743bf7c08a7f.jpg,13.8225523187655,100.57933782528687,kafka,2025-05-06T15:44:37.583860
2025-L4TK6K,6 พ.ค. 68 20:59 น.,RPXC+38P ถ. หทัยราษฎร์ แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,เขตคลองสามวา,แขวงบางชัน,รอรับเรื่อง 11 นาทีที่แล้ว,"📢🔊💡🛣️ แจ้งไฟถนนดับ😱
*️⃣หมายเลขโคมไฟ ตามภาพแนบ
💥👉ส่งต่อ Bangkok Smart Lighting (สำนักการโยธา ก...เพิ่มเติม",ดำเนินการ: -,,"ไฟฟ้า, อุปกรณ์ชำรุด",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/2a99b3da3c5cdff306dc858c6af603da.jpg,13.848426762685051,100.7210599026278,kafka,2025-05-06T15:44:37.585862
2025-H44WHN,6 พ.ค. 68 20:58 น.,42 ซ. สุขุมวิท 11 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,เขตวัฒนา,แขวงคลองเตยเหนือ,รอรับเรื่อง 11 นาทีที่แล้ว,ปัญหารถเร่เข็นขายสินค้าและอาหารในซอยสุขุมวิท 11 ที่ฝ่าฝืนประกาศห้ามขายสินค้า/อาหารของเขตวัฒนาที่มีกา...เพิ่มเติม,ดำเนินการ: -,,"หาบเร่แผงลอย, ผิดกฎจราจร",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/c9aa5354b5753493408c5ff423128ab8.jpg,13.7459504618328,100.558295344765,kafka,2025-05-06T15:44:37.586862
2025-RBM8WK,6 พ.ค. 68 20:57 น.,367/21 ถ. จรัญสนิทวงศ์ แขวงบางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,เขตบางกอกน้อย,แขวงบางขุนศรี,รอรับเรื่อง 12 นาทีที่แล้ว,รถจักรยานยนต์จอดบนทางเท้า,ดำเนินการ: -,,"ทางเท้า, ผิดกฎจราจร",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/5e7f7ece2896db3f5e5c2cac152cafad.jpg,13.75601623806585,100.46910683196813,kafka,2025-05-06T15:44:37.588859
2025-GWE8DA,6 พ.ค. 68 21:02 น.,72 ถ. สามเสน แขวงบางขุนพรหม เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,เขตพระนคร,แขวงบางขุนพรหม,รอรับเรื่อง 11 นาทีที่แล้ว,แยกไฟแดง เทเวศร์ รถยนต์และจักรยานยนต์จอดรถริมถนนตรงแยกไฟแดงทุกวัน บางครั้งจอดทับทางเท้าด้วย ทำให้ใช้...เพิ่มเติม,ดำเนินการ: -,,"ผิดกฎจราจร, ถนน",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/32b99402a5e10bb5e8cb9b23f19ad691.jpg,13.76601693277135,100.50360058964046,kafka,2025-05-06T15:44:37.589863
2025-LRJPWF,6 พ.ค. 68 21:01 น.,"92/7, 92/7 ซอย ทวีสุข แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย",เขตวัฒนา,แขวงคลองตันเหนือ,รอรับเรื่อง 11 นาทีที่แล้ว,ไฟฟ้าถนนในซอยดับทั้งหมดเริ่มจากในซอยสุขุมวิท31ทั้งซอยแยก และซอยทวีสุข ไฟถนนดับทั้งหมด,ดำเนินการ: -,,"ไฟฟ้า, อุปกรณ์ชำรุด",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/74999c030650c88d9bedc4cabe669372.jpg,13.74411583650065,100.57113888193288,kafka,2025-05-06T15:44:37.591860
